positions,building,contents,profits,total
01/03/1980,1.09809663 ,0.58565150 ,0.00000000 ,1.68374800 
01/04/1980,1.75695461 ,0.33674960 ,0.00000000 ,2.09370400 
01/05/1980,1.73258126 ,0.00000000 ,0.00000000 ,1.73258100 
01/07/1980,0.00000000 ,1.30537600 ,0.47437775 ,1.77975400 
01/07/1980,1.24450952 ,3.36749600 ,0.00000000 ,4.61200600 
01/10/1980,4.45203953 ,4.27323400 ,0.00000000 ,8.72527400 
01/10/1980,2.49487555 ,3.54319200 ,1.86090776 ,7.89897500 
01/16/1980,0.77568960 ,0.99311710 ,0.43923865 ,2.20804500 
01/16/1980,0.81259151 ,0.67349930 ,0.00000000 ,1.48609100 
01/19/1980,2.37157394 ,0.16837480 ,0.25622255 ,2.79617100 
01/21/1980,0.00000000 ,7.32064400 ,0.00000000 ,7.32064400 
01/21/1980,3.36749634 ,0.00000000 ,0.00000000 ,3.36749600 
01/24/1980,1.46412884 ,0.00000000 ,0.00000000 ,1.46412900 
01/25/1980,1.72222255 ,0.00000000 ,0.00000000 ,1.72222300 
01/26/1980,6.91800878 ,4.45680800 ,0.00000000 ,11.37481700 
01/26/1980,1.60230600 ,0.88043340 ,0.00000000 ,2.48273900 
01/28/1980,18.30161054 ,7.91303100 ,0.00000000 ,26.21464100 
02/03/1980,1.54562225 ,0.45680820 ,0.00000000 ,2.00243000 
02/05/1980,4.39238653 ,0.13762810 ,0.00000000 ,4.53001500 
02/07/1980,1.12098829 ,0.72076430 ,0.00000000 ,1.84175300 
02/10/1980,3.80673499 ,0.00000000 ,0.00000000 ,3.80673500 
02/13/1980,10.24890190 ,3.87317400 ,0.00000000 ,14.12207600 
02/16/1980,3.08164714 ,2.34260600 ,0.00000000 ,5.42425300 
02/19/1980,2.92825769 ,8.78477300 ,0.00000000 ,11.71303100 
02/20/1980,0.95900439 ,0.55636900 ,0.00000000 ,1.51537300 
02/21/1980,2.53858858 ,0.00000000 ,0.00000000 ,2.53858900 
02/22/1980,1.75695461 ,0.29282580 ,0.00000000 ,2.04978000 
02/23/1980,3.80673499 ,8.65885800 ,0.00000000 ,12.46559300 
02/25/1980,1.73544510 ,0.00000000 ,0.00000000 ,1.73544500 
02/27/1980,0.51244510 ,1.17130300 ,0.00000000 ,1.68374800 
03/07/1980,0.66774963 ,2.43648300 ,0.21961933 ,3.32385200 
03/13/1980,1.67461201 ,0.07320644 ,0.07320644 ,1.82102500 
03/13/1980,0.07320644 ,2.34260600 ,0.00000000 ,2.41581300 
03/13/1980,0.00000000 ,1.46412900 ,0.00000000 ,1.46412900 
03/17/1980,4.39238653 ,0.89786380 ,0.58565154 ,5.87590200 
03/20/1980,1.79243924 ,0.00000000 ,0.00000000 ,1.79243900 
03/21/1980,3.33821376 ,0.00000000 ,0.00000000 ,3.33821400 
03/22/1980,1.58448755 ,0.00000000 ,0.00000000 ,1.58448800 
03/26/1980,0.62265593 ,1.30866500 ,0.00000000 ,1.93132100 
04/06/1980,2.04978038 ,0.00000000 ,0.00000000 ,2.04978000 
04/10/1980,1.57375842 ,0.00000000 ,0.00000000 ,1.57375800 
04/11/1980,1.75695461 ,0.00000000 ,0.00000000 ,1.75695500 
04/14/1980,4.93118594 ,0.00000000 ,0.00000000 ,4.93118600 
04/15/1980,5.41727672 ,0.00000000 ,0.00000000 ,5.41727700 
04/16/1980,0.73206442 ,0.80527090 ,0.00000000 ,1.53733500 
04/25/1980,17.56954612 ,0.00000000 ,0.00000000 ,17.56954600 
04/25/1980,1.69112299 ,0.00000000 ,0.00000000 ,1.69112300 
04/26/1980,1.58161201 ,0.00000000 ,0.00000000 ,1.58161200 
05/01/1980,0.36901903 ,1.09809700 ,0.00000000 ,1.46711600 
05/01/1980,1.02489019 ,1.02489000 ,0.00000000 ,2.04978000 
05/02/1980,1.08898975 ,0.83972180 ,0.00000000 ,1.92871200 
05/02/1980,2.12430307 ,1.13885100 ,0.00000000 ,3.26315400 
05/04/1980,0.89897511 ,0.80527090 ,0.00000000 ,1.70424600 
05/07/1980,2.07460761 ,0.00000000 ,0.00000000 ,2.07460800 
05/09/1980,1.09809663 ,2.19619300 ,0.00000000 ,3.29429000 
05/10/1980,1.83997511 ,0.00000000 ,0.00000000 ,1.83997500 
05/16/1980,7.32064422 ,0.00000000 ,0.00000000 ,7.32064400 
05/18/1980,5.85651537 ,1.46412900 ,0.00000000 ,7.32064400 
05/20/1980,1.57621523 ,0.00000000 ,0.00000000 ,1.57621500 
05/20/1980,4.85609810 ,0.00000000 ,0.00000000 ,4.85609800 
05/21/1980,1.54227526 ,0.00000000 ,0.00000000 ,1.54227500 
05/26/1980,9.32503660 ,4.29575400 ,0.00000000 ,13.62079100 
05/29/1980,0.73206442 ,1.02489000 ,0.00000000 ,1.75695500 
05/29/1980,1.63982430 ,0.00000000 ,0.00000000 ,1.63982400 
06/02/1980,2.03637775 ,0.00000000 ,0.00000000 ,2.03637800 
06/03/1980,7.32064422 ,14.64129000 ,0.00000000 ,21.96193300 
06/11/1980,1.79902635 ,0.00000000 ,0.00000000 ,1.79902600 
06/12/1980,2.30600293 ,0.14641290 ,0.00000000 ,2.45241600 
06/15/1980,1.24450952 ,1.42459700 ,0.00000000 ,2.66910700 
06/15/1980,2.02414641 ,0.00000000 ,0.00000000 ,2.02414600 
06/16/1980,0.61200586 ,1.11273800 ,0.00000000 ,1.72474400 
06/17/1980,1.64386384 ,0.00000000 ,0.00000000 ,1.64386400 
06/21/1980,1.17130307 ,0.79062960 ,0.00000000 ,1.96193300 
06/30/1980,3.80673499 ,0.81991220 ,0.00000000 ,4.62664700 
07/02/1980,1.46412884 ,0.00000000 ,0.00000000 ,1.46412900 
07/04/1980,0.94670571 ,2.06002900 ,0.95651537 ,3.96325000 
07/04/1980,1.11321230 ,4.45064000 ,0.00000000 ,5.56385200 
07/07/1980,0.00000000 ,4.39238700 ,0.00000000 ,4.39238700 
07/10/1980,3.64031332 ,0.00000000 ,0.00000000 ,3.64031300 
07/12/1980,1.29575403 ,0.38213760 ,0.00000000 ,1.67789200 
07/14/1980,1.15666179 ,0.29282580 ,0.00000000 ,1.44948800 
07/15/1980,95.16837482 ,106.14930000 ,61.93265007 ,263.25036600 
07/25/1980,0.00000000 ,2.50073200 ,0.00000000 ,2.50073200 
07/26/1980,1.58272328 ,0.05270864 ,0.19033675 ,1.82576900 
07/26/1980,9.88286969 ,0.00000000 ,0.00000000 ,9.88287000 
