custID,gender,state,cardholder,balance,numTrans,numIntlTrans,creditLine,fraudRisk
1,1,35,1,3000,4,14,2,0
2,2,2,1,0,9,0,18,0
3,2,2,1,0,27,9,16,0
4,1,15,1,0,12,0,5,0
5,1,46,1,0,11,16,7,0
6,2,44,2,5546,21,0,13,0
7,1,3,1,2000,41,0,1,0
8,1,10,1,6016,20,3,6,0
9,2,32,1,2428,4,10,22,0
10,1,23,1,0,18,56,5,0
11,1,46,1,4601,54,0,4,0
12,1,10,1,3000,20,0,2,0
13,1,6,1,0,45,2,4,0
14,2,38,1,9000,41,3,8,0
15,1,27,1,5227,60,0,17,0
16,1,44,1,0,22,0,5,0
17,2,18,1,13970,20,0,13,0
18,1,35,1,3113,13,6,8,0
19,1,5,1,9000,20,2,8,0
20,2,31,1,1860,21,10,8,0
21,1,39,1,4000,24,0,3,0
22,1,34,1,0,22,0,3,0
23,1,5,1,0,7,0,11,0
24,2,21,1,0,15,0,3,0
25,1,25,1,0,12,0,65,0
26,2,29,1,5000,4,9,4,0
27,1,38,1,4000,21,5,3,0
28,1,9,1,12000,20,0,11,0
29,2,20,1,0,19,0,2,0
30,2,49,1,5192,84,0,13,1
31,1,29,1,0,23,0,4,0
32,1,31,1,6000,8,0,5,0
33,2,48,1,4899,49,0,10,0
34,2,20,1,7000,43,2,6,0
35,1,44,1,0,27,0,8,0
36,1,20,1,10257,23,0,13,0
37,1,36,1,5000,24,0,4,0
38,2,36,1,3000,34,22,2,0
39,1,5,1,5000,14,0,4,0
40,2,46,1,9000,7,0,8,0
41,1,5,1,1575,44,0,7,0
42,1,35,1,4973,13,0,12,0
43,1,44,1,0,29,5,2,0
44,2,11,1,17656,16,3,25,1
45,1,5,1,0,15,1,2,0
46,1,17,1,0,25,0,5,0
47,2,23,1,0,5,3,4,0
48,1,3,1,11090,41,0,13,0
49,1,5,1,0,4,1,7,0
50,2,5,1,10826,4,0,20,0
51,1,5,1,0,26,0,4,0
52,2,35,1,0,57,24,6,0
53,2,5,1,1352,6,1,4,0
54,2,5,1,8000,22,0,7,0
55,1,10,1,6000,52,0,5,0
56,2,43,2,9000,5,0,8,0
57,2,10,1,8000,30,60,7,1
58,2,43,1,0,33,0,15,0
59,1,46,1,0,14,0,4,0
60,2,23,2,11025,14,15,16,0
61,2,19,2,4000,1,2,3,0
62,1,43,1,3000,32,0,2,0
63,2,23,1,0,38,0,3,0
64,1,36,1,13876,100,2,20,1
65,2,35,1,4000,7,6,3,0
66,1,15,1,10144,26,0,21,1
67,2,38,1,545,25,5,17,0
68,2,4,1,6000,13,0,5,0
69,1,7,1,0,16,4,3,0
70,1,5,1,3490,29,0,4,0
71,1,46,1,4000,21,0,3,0
72,1,2,1,5000,35,8,4,0
73,2,6,1,13000,16,0,12,0
74,2,10,1,4000,6,0,3,0
75,1,15,1,5000,4,1,4,0
76,2,17,1,0,2,1,47,0
77,1,14,2,10079,12,0,25,0
78,1,18,1,5919,38,0,5,0
79,1,2,1,0,29,7,4,0
80,1,42,1,5000,9,0,4,0
81,1,41,1,5000,9,0,4,0
82,2,10,1,0,19,0,5,0
83,1,32,1,7610,16,8,17,0
84,2,43,1,7343,99,0,14,0
85,2,21,1,6535,11,0,6,0
86,2,4,1,4000,26,0,3,0
87,1,10,1,10681,100,0,10,1
88,2,44,1,8171,20,0,11,0
89,1,38,1,0,10,2,12,0
90,2,2,1,4000,14,20,3,0
91,1,23,1,10000,30,4,9,0
92,2,46,1,5000,100,1,4,0
93,1,35,1,9245,9,2,11,0
94,1,3,1,15000,15,1,14,0
95,1,39,1,779,94,8,2,0
96,1,39,1,0,10,0,3,0
97,1,25,1,7493,27,0,15,0
98,1,5,1,1849,46,0,6,0
99,2,5,1,5500,14,0,11,0
100,1,16,1,0,32,0,26,0
101,2,26,1,3000,16,0,2,0
102,2,15,1,8958,2,26,10,0
103,2,22,1,6461,14,3,28,0
104,2,20,1,3858,32,4,22,0
105,2,5,1,637,14,5,10,0
106,1,10,1,0,22,0,4,0
107,2,30,1,8760,26,0,11,0
108,2,15,1,839,10,5,6,0
109,1,46,1,5000,28,17,4,0
110,1,15,1,5000,7,0,4,0
111,2,35,1,11000,14,0,10,1
112,2,44,1,0,16,28,4,0
113,1,28,1,0,31,0,3,0
114,2,2,1,6000,11,0,5,0
115,1,36,2,5000,32,0,4,0
116,1,26,1,3000,22,30,2,0
117,2,13,1,5000,32,7,4,0
118,1,11,1,0,39,3,13,0
119,1,34,1,10000,2,25,9,0
120,1,11,1,9000,24,0,8,0
121,2,10,1,4000,6,4,3,0
122,2,5,1,5689,25,0,11,0
123,1,44,1,651,12,0,5,0
124,2,48,1,0,11,4,4,0
125,1,48,1,6719,24,0,13,0
126,1,43,1,0,7,0,4,0
127,1,10,1,6000,28,1,5,0
128,1,32,1,7000,5,0,6,0
129,1,44,1,4000,73,0,3,0
130,1,12,1,0,32,7,2,0
131,1,30,1,7000,27,5,6,0
132,1,36,1,8663,7,5,11,0
133,1,16,1,0,36,0,2,0
134,2,2,1,5000,100,0,4,0
135,2,35,2,2507,10,0,3,0
136,2,36,1,5000,16,8,4,0
137,1,35,2,1101,100,4,1,0
138,2,47,1,7644,11,0,63,0
139,1,7,1,0,16,0,2,0
140,1,43,1,355,16,0,32,0
141,2,3,1,8000,21,0,7,0
142,2,5,1,0,35,14,8,0
143,2,43,1,6000,33,0,5,0
144,1,24,1,8000,36,0,7,0
145,2,4,1,5000,9,0,4,0
146,1,46,1,0,53,0,28,0
147,1,35,1,2735,16,0,11,0
148,1,3,1,0,45,23,5,0
149,2,4,1,2000,73,8,8,0
150,2,10,1,5000,21,6,4,0
151,1,29,1,673,9,25,2,0
152,1,25,1,7000,17,0,6,0
153,1,5,1,5000,13,0,4,0
154,2,18,1,7000,16,0,6,0
155,2,15,1,11000,4,0,10,0
156,2,10,1,12213,26,0,38,1
157,2,6,1,3828,9,2,3,0
158,1,19,1,7000,14,0,6,0
159,1,5,1,2688,17,0,3,0
160,2,43,1,0,100,7,11,1
161,1,34,1,5000,10,5,4,0
162,2,49,1,5849,100,0,16,1
163,1,44,1,2415,55,0,3,0
164,2,16,1,0,5,7,3,0
165,2,5,1,4000,9,0,3,0
166,1,39,1,10705,9,0,20,0
167,1,23,2,2128,16,0,3,0
168,1,2,1,5000,74,0,4,0
169,2,4,1,1459,22,7,12,0
170,2,39,1,1394,34,0,9,0
171,1,39,1,3324,12,0,7,0
172,2,32,1,7785,13,1,17,0
173,2,5,1,3286,43,21,13,0
174,1,48,1,5626,100,0,7,1
175,2,32,1,5000,37,0,4,0
176,1,44,1,6000,4,0,5,0
177,1,32,1,905,72,0,5,0
178,2,48,1,5000,23,0,4,0
179,1,15,1,0,53,0,6,0
180,2,14,1,0,4,0,2,0
181,1,49,1,0,7,0,5,0
182,2,29,1,2191,24,5,4,0
183,1,33,1,7000,6,0,6,0
184,1,35,1,4519,14,3,28,0
185,2,35,1,6000,10,0,5,0
186,1,32,1,624,73,0,10,0
187,1,11,1,6000,5,0,5,0
188,1,35,1,4000,4,1,3,0
189,1,42,1,3000,54,0,2,0
190,1,11,1,0,13,0,3,0
191,1,18,2,4000,5,0,3,0
192,1,10,1,3000,18,0,2,0
193,2,5,1,0,8,0,3,0
194,1,23,1,3000,19,0,2,0
195,1,43,1,5879,4,31,17,0
196,2,11,1,2812,66,0,3,0
197,1,19,1,3000,64,0,2,0
198,2,5,1,4694,40,0,4,0
199,2,11,1,3000,5,0,2,0
200,2,33,1,0,7,0,4,0
201,1,44,1,2662,5,0,2,0
202,2,13,1,0,35,0,5,0
203,2,17,1,7272,8,14,10,0
204,1,5,1,859,10,0,4,0
205,1,26,1,0,8,0,5,0
206,2,23,1,0,14,0,12,0
207,1,16,2,0,10,0,15,0
208,2,35,1,0,19,0,23,0
209,1,44,1,0,18,0,3,0
210,2,36,1,0,57,0,1,0
211,2,44,1,336,14,0,2,0
212,1,39,1,5000,19,0,4,0
213,2,21,1,1972,12,0,9,0
214,1,26,1,0,33,5,9,0
215,2,24,1,3591,36,2,11,0
216,2,5,1,4847,22,0,64,0
217,2,21,1,804,2,0,7,0
218,2,11,1,0,96,0,10,0
219,1,32,1,4000,19,0,3,0
220,2,10,1,3000,10,1,2,0
221,1,10,1,7000,73,4,6,0
222,1,5,1,5000,15,1,4,0
223,1,13,1,4844,7,2,4,0
224,1,23,1,6423,73,0,12,0
225,2,44,1,0,19,0,1,0
226,1,44,1,0,4,0,6,0
227,2,27,1,0,17,1,7,0
228,1,35,1,6000,49,0,5,0
229,1,44,1,0,9,0,1,0
230,1,5,1,0,49,4,2,0
231,1,20,1,0,100,3,3,0
232,2,20,1,0,14,0,19,0
233,1,19,1,0,31,0,10,0
234,1,44,1,5000,17,0,4,0
235,1,44,1,5000,2,0,4,0
236,1,5,1,0,14,0,3,0
237,1,28,2,6000,21,1,5,0
238,1,20,1,2000,36,36,1,0
239,1,39,1,7000,24,0,6,0
240,1,19,1,5000,5,2,4,0
241,2,21,1,11000,6,0,10,0
242,1,24,1,3000,18,0,2,0
243,1,29,1,5000,1,8,4,0
244,1,16,1,5000,55,0,4,0
245,1,20,1,12136,8,0,20,0
246,1,15,1,3141,19,0,9,0
247,1,11,1,0,49,3,10,0
248,1,44,1,3668,100,0,8,0
249,2,44,1,0,76,51,3,0
250,1,23,1,0,100,0,3,0
251,2,29,1,0,16,34,5,0
252,1,11,1,6738,15,4,30,0
253,2,25,1,59,28,6,7,0
254,1,44,1,8459,11,11,10,0
255,2,39,1,0,13,14,5,0
256,1,5,1,0,6,0,7,0
257,1,20,1,3000,10,14,2,0
258,1,15,1,6000,7,10,5,0
259,1,44,1,3000,9,0,2,0
260,1,49,1,5000,24,6,4,0
261,1,35,1,11000,13,2,10,0
262,1,19,1,903,2,5,67,0
263,1,35,1,0,27,0,3,0
264,1,41,1,0,25,0,7,0
265,1,25,1,2712,24,5,3,0
266,1,44,1,4475,24,0,4,0
267,1,43,1,7000,29,0,6,0
268,1,14,1,490,30,17,24,0
269,1,35,1,1098,17,0,9,0
270,1,46,1,0,2,2,7,0
271,1,29,1,7000,3,60,6,0
272,1,22,1,10388,26,0,34,1
273,2,4,1,9422,47,0,15,0
274,1,48,1,0,19,0,5,0
275,1,25,1,1719,14,0,3,0
276,1,36,1,2624,75,1,7,0
277,2,35,1,4513,8,2,9,0
278,1,6,2,4000,100,0,3,0
279,1,5,1,4517,40,9,4,0
280,2,16,1,4934,29,0,5,0
281,2,35,1,1557,8,0,15,0
282,2,51,1,5220,49,0,7,0
283,2,44,1,3546,23,0,5,0
284,2,49,1,0,30,16,3,0
285,1,50,1,0,100,0,13,0
286,1,36,1,5000,3,2,4,0
287,1,20,1,13645,27,7,17,1
288,2,10,1,5838,9,3,13,0
289,1,25,2,6000,90,0,5,0
290,1,28,1,5000,13,2,4,0
291,1,10,1,4000,27,3,3,0
292,1,21,1,0,11,0,6,0
293,2,49,1,11000,35,7,10,0
294,2,39,1,6000,53,3,5,0
295,1,5,1,10392,16,0,31,0
296,2,39,1,10212,100,0,10,1
297,1,48,2,1276,15,4,6,0
298,1,24,1,5000,13,0,4,0
299,2,5,1,7000,72,0,6,1
300,2,35,1,0,18,8,11,0
301,1,15,1,0,18,0,3,0
302,2,10,1,0,27,8,3,0
303,2,11,1,0,2,1,4,0
304,1,44,1,1999,5,0,1,0
305,1,10,1,2000,18,0,1,0
306,2,15,1,9000,2,0,8,0
307,1,44,1,5000,3,1,4,0
308,2,17,1,8831,2,0,40,0
309,1,45,1,4000,3,21,3,0
310,1,35,1,6000,15,3,5,0
311,1,36,1,8000,57,0,7,0
312,1,5,1,4468,24,0,6,0
313,2,16,1,3000,100,0,2,0
314,1,43,1,4421,16,0,4,0
315,1,5,1,3000,18,0,2,0
316,1,35,1,5000,89,6,4,0
317,1,16,1,10000,5,0,9,0
318,2,36,1,3051,100,0,3,0
319,1,44,1,619,11,0,2,0
320,2,10,1,0,44,28,9,0
321,1,5,1,8000,15,0,7,0
322,2,35,1,0,65,5,19,0
323,1,10,1,4000,15,4,3,0
324,1,34,1,0,13,1,7,0
325,1,36,1,5881,94,0,6,0
326,1,35,1,5000,49,4,4,0
327,1,17,1,0,10,0,4,0
328,2,49,1,0,8,1,31,0
329,1,44,1,2587,13,1,16,0
330,2,15,1,0,15,0,12,0
